feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance
1553300_a_at							1		1	1	0	1
1553301_a_at							1		1	1	0	1
1553303_at							1		1	0	1	1
1553304_at							1		1	0	1	1
1553306_at							1		1	0	1	1
1553310_at							1		1	0	1	1
1553311_at							1		1	0	1	1
1553313_s_at							1		1	1	0	1
1553314_a_at							1		1	0	1	1
1553315_at							1		1	0	1	1
1553316_at							1		1	0	1	1
1553317_s_at							1		1	0	1	1
1553318_at							1		1	0	1	1
1553319_at							1		1	0	1	1
1553320_s_at							1		1	0	1	1
1553321_a_at							1		1	1	0	1
1553322_s_at							1		1	0	1	1
1553323_a_at							1		1	0	1	1
1553325_at							1		1	0	1	1
1553326_at							1		1	1	0	1
1553327_a_at							1		1	1	0	1
1553328_a_at							1		1	0	1	1
1553329_at							1		1	1	0	1
1553330_at							1		1	1	0	1
1553333_at							1		1	1	0	1
1553335_x_at							1		1	0	1	1
1553336_a_at							1		1	0	1	1
1553338_at							1		1	1	0	1
1553340_s_at							1		1	0	1	1
1553341_at							1		1	1	0	1
1553344_at							1		1	1	0	1
1553346_a_at							1		1	0	1	1
1553347_s_at							1		1	1	0	1
1553348_a_at							1		1	1	0	1
1553349_at							1		1	1	0	1
1553350_at							1		1	0	1	1
1553351_at							1		1	1	0	1
1553352_x_at							1		1	1	0	1
1553354_a_at							1		1	0	1	1
1553355_at							1		1	0	1	1
1553356_at							1		1	1	0	1
1553357_at							1		1	0	1	1
1553359_at							1		1	1	0	1
1553361_x_at							1		1	1	0	1
1553362_at							1		1	0	1	1
1553363_at							1		1	0	1	1
1553364_at							1		1	0	1	1
1553365_at							1		1	1	0	1
1553366_s_at							1		1	0	1	1
1553367_a_at							1		1	1	0	1
1553369_at							1		1	0	1	1
1553371_at							1		1	0	1	1
1553372_at							1		1	1	0	1
1553373_at							1		1	1	0	1
1553374_at							1		1	0	1	1
1553375_at							1		1	1	0	1
1553376_a_at							1		1	0	1	1
1553378_a_at							1		1	1	0	1
1553380_at							1		1	1	0	1
1553383_at							1		1	1	0	1
1553385_at							1		1	0	1	1
1553386_at							1		1	1	0	1
1553387_at							1		1	0	1	1
1553388_at							1		1	1	0	1
